"bot","wiki","username","cnt"
false,"wikidatawiki","Thierry Caro","2192"
true,"commonswiki","RudolphousBot","1190"
true,"wikidatawiki","Research Bot","719"
false,"trwiktionary","HastaLaVi2","552"
true,"wikidatawiki","Mr.Ibrahembot","293"
true,"enwiki","DatBot","289"
true,"commonswiki","SchlurcherBot","248"
true,"commonswiki","KolbertBot","247"
true,"rowiki","Andrebot","246"
true,"cebwiki","Lsjbot","216"
true,"viwiki","TuanminhBot","163"
false,"simplewiki","Eurodyne","156"
true,"wikidatawiki","Dcirovicbot","152"
false,"nlwiki","Jordyvandebunt","132"
false,"enwiki","70.31.127.9","113"
false,"wikidatawiki","Ederporto","109"
false,"commonswiki","Tuvalkin","105"
false,"wikidatawiki","Jon Harald Søby","103"
false,"svwiki","Hålslaget","87"
false,"enwiki","FilmandTVFan28","86"
