"bot","username","cnt"
false,"Ronhjones","1553"
false,"Thierry Caro","871"
false,"HastaLaVi2","801"
false,"Danrok","237"
false,"Léna","206"
false,"Druschba 4","110"
false,"Fredddie","77"
false,"Gikü","66"
false,"LisburnThePriest","63"
false,"Mx. Granger","59"
false,"Lanhiaze","59"
false,"DarwIn","57"
false,"Hassocks5489","56"
false,"Tschubby","55"
false,"Arado","51"
false,"Hugo999","47"
false,"Eco84","47"
false,"18.26.0.5","45"
false,"Kaganer","44"
false,"Eurohunter","43"
false,"Simon Villeneuve","43"
false,"Jane023","42"
false,"Mr.Nostalgic","42"
false,"Bovineboy2008","40"
false,"Luftschiffhafen","39"
false,"Petro","39"
false,"Dungodung","36"
false,"Ipr1","36"
false,"Envlh","35"
false,"Clusternote","34"
false,"Marek Koudelka","33"
false,"Jllm06","33"
false,"ClueBot NG","33"
false,"Milda","32"
false,"JMHamo","30"
false,"Sortilegus","30"
false,"CUA 27","29"
false,"Sir Sputnik","29"
false,"操你祖宗十八代","28"
false,"Infovarius","28"
false,"Jip Orlando","28"
false,"Globetrotter19","28"
false,"Number 57","28"
false,"Namiba","27"
false,"Aka","27"
false,"151 cp","26"
false,"A ri gi bod","26"
false,"Florn88","26"
false,"Syrio","26"
false,"Jdx","26"
false,"Frietjes","26"
false,"Winstonza","25"
false,"84.10.92.69","24"
false,"Zaccarias","24"
false,"Ceranthor","23"
false,"Discasto","22"
false,"AnRo0002","22"
false,"GiorgiXIII","22"
false,"THE IT","21"
false,"Hmains","21"
false,"Lmbuga","21"
false,"Marcocapelle","21"
false,"Modern Sciences","20"
false,"Huster","20"
false,"EddieHugh","20"
false,"Rhadamante","19"
false,"Man77","19"
false,"MB-one","19"
false,"Majella1851","18"
false,"Erasmus.1948","18"
false,"Lucyin","18"
false,"No2","18"
false,"Flussar","18"
false,"Jax 0677","18"
false,"GoingBatty","18"
false,"Xaris333","18"
false,"Bidgee","18"
false,"Tiberioclaudio99","18"
false,"Quite A Character","17"
false,"Kanags","17"
false,"LIMO 5","17"
false,"Baboona","17"
false,"WikiDataMovieDB","16"
false,"Gerd Wiechmann","16"
false,"Davidgoodheart","16"
false,"Osteologia","16"
false,"MZMcBride","16"
false,"Pokito a poko","16"
false,"RobertLechner","15"
false,"Delotrooladoo","15"
false,"Ermell","15"
false,"Pitxiquin","15"
false,"Rreagan007","15"
false,"Romanov loyalist","14"
false,"Kuriosatempel","14"
false,"Aavitus","14"
false,"Charles Matthews","14"
false,"Magicpiano","14"
false,"Alzinous","14"
false,"संजीव कुमार","14"
false,"DCDuring","14"
false,"Mgl.branco","13"
false,"Arnaud Palastowicz","13"
false,"Xion","13"
false,"Czymjestlogika","13"
false,"Dimitrij Kasev","13"
false,"DTLHS","13"
false,"Castncoot","13"
false,"Glorious 93","12"
false,"Kingbjelica","12"
false,"SajoR","12"
false,"Falk2","12"
false,"MBq","12"
false,"Lucywood","12"
false,"Tiem Borussia 73","12"
false,"Mighty Wire","12"
false,"JessECarlan","12"
false,"SelfieCity","12"
false,"Achim55","12"
false,"Tom.Reding","12"
false,"MicahDCochran","11"
false,"Turpit","11"
false,"ZZZico","11"
false,"Doyoon1995","11"
false,"Auric","11"
false,"Csurla","11"
false,"Lax","11"
false,"Kvardek du","11"
false,"Lukariass","11"
false,"Wol alem","11"
false,"ErikvanB","11"
false,"Alemann","11"
false,"AnemoneProjectors","11"
false,"TommyBoy","11"
false,"Max von O","10"
false,"Lmaltier","10"
false,"Michihiro Yumoto Soga","10"
false,"Zollernalb","10"
false,"Offeliaa","10"
false,"WSBiography","10"
false,"DivermanAU","10"
false,"Jörg Blobelt","10"
false,"Struway2","10"
false,"Pirags","10"
false,"Adalhard Waffe","10"
false,"Ederporto","10"
false,"Entranced98","10"
false,"OktaRama2010","10"
false,"Anglish4699","10"
false,"GianWiki","10"
false,"TheBellaTwins1445","10"
false,"JYB Devot","10"
false,"Pegasovagante","10"
false,"PediAki","10"
false,"Zouaoui16","10"
false,"DBZFan30","10"
false,"Wolfgang","9"
false,"MILEPRI","9"
false,"MikeZah","9"
false,"Vituzzu","9"
false,"Uwca","9"
false,"Fralonsot","9"
false,"Sturm","9"
false,"Alexhary","9"
false,"92.53.97.178","9"
false,"Dmd3music","9"
false,"Azurfrog","9"
false,"Boberger","9"
false,"Cacrats","9"
false,"ThatVera7","9"
false,"Jan Arkesteijn","9"
false,"Dostojewskij","9"
false,"Sanremofilo","9"
false,"Grzes1966","9"
false,"ContributorQ","9"
false,"Charan Gill","9"
false,"Ammarpad","9"
false,"Soleincitta","9"
false,"Ta65to","9"
false,"Robofish","9"
false,"Succu","9"
false,"Editor D.S","9"
false,"Joanbanjo","9"
false,"Head of darkness","9"
false,"Cangadoba","8"
false,"Sorin5780","8"
false,"Koala15","8"
false,"Gaillac","8"
false,"Marcuscalabresus","8"
false,"Andy king50","8"
false,"Yexstorm2001","8"
false,"NicoScribe","8"
false,"Doktorpixel14","8"
false,"TjBison","8"
false,"Pracchia-78","8"
false,"Isidre blanc","8"
false,"Spinster","8"
false,"46.224.250.54","8"
false,"المصطفى كحلاوي","8"
false,"Zangala","8"
false,"Lewis Hulbert","8"
false,"Accipiter Q. Gentilis","8"
false,"Joao4669","8"
false,"Jcb","8"
false,"Wcquidditch","8"
false,"Iniți","8"
false,"SrpskiAnonimac","8"
false,"Atcovi","7"
false,"SteveStrummer","7"
false,"SanoAK","7"
false,"Amalieranch","7"
false,"TreasureIslandMediaBoss","7"
false,"InGrayscale","7"
false,"Bubba73","7"
false,"Agafoklea","7"
false,"73.177.106.68","7"
false,"Ungoliant MMDCCLXIV","7"
false,"Hannolans","7"
false,"Jurii","7"
false,"89.230.130.3","7"
false,"MarkoDalisay","7"
false,"Clntkee","7"
false,"Razzabarese","7"
false,"LuisAngel01","7"
false,"Terminator92","7"
false,"Seppi333","7"
false,"J.-H. Janßen","7"
false,"Dima st bk","7"
false,"Enpatrais","7"
false,"Donnanz","7"
false,"Krassotkin","7"
false,"Raimundo Pastor","7"
false,"178.108.132.144","7"
false,"Krg1s","7"
false,"Netelo","7"
false,"Paine Ellsworth","7"
false,"Huguespotter","6"
false,"Мико","6"
false,"LynxTufts","6"
false,"Kerry Raymond","6"
false,"2001:978:3400:0:104:200:0:13BB","6"
false,"Missvain","6"
false,"Audtls910","6"
false,"Pozzi.c","6"
false,"137.53.241.2","6"
false,"海物語","6"
false,"Hello513","6"
false,"Certes","6"
false,"Thibaut120094","6"
false,"Peter coxhead","6"
false,"Toasted Meter","6"
false,"VictorBrice","6"
false,"Jepse","6"
false,"Vinão Almeida","6"
false,"Anythingyouwant","6"
false,"197.48.185.128","6"
false,"Kani","6"
false,"Oo91","6"
false,"Equinox","6"
false,"RFD","6"
false,"62.28.64.102","6"
false,"Kurmis","6"
false,"Utente1989","6"
false,"Jarfe","6"
false,"Dim Grits","6"
false,"WAH","6"
false,"Enrevseluj","6"
false,"Rburton66","6"
false,"SchreiberBike","6"
false,"Jordan.d.o","6"
false,"E-Soter","6"
false,"GlitterantDagger","6"
false,"SuicideSociety","6"
false,"Robby","6"
false,"86.190.35.40","6"
false,"Sfs90","6"
false,"Diannaa","6"
false,"WhiteHartLane","6"
false,"PatLover","5"
false,"Visite fortuitement prolongée","5"
false,"186.104.174.237","5"
false,"Tappinen","5"
false,"ChandraHelsinky","5"
false,"Murgatroyd49","5"
false,"Dyveldi","5"
false,"Shadowxfox","5"
false,"Felipe da Fonseca","5"
false,"Martin Prunières","5"
false,"Érico","5"
false,"Krzysztof Łodzikowski","5"
false,"Gabriel2403","5"
false,"Beauty School Dropout","5"
false,"Mewtow","5"
false,"Шкурба Андрій Вікторович","5"
false,"Pob3qu3","5"
false,"Bötsy","5"
false,"Plucas58","5"
false,"옥타비아누스","5"
false,"Raymond","5"
false,"Tyseria","5"
false,"L bour","5"
false,"Koulmab","5"
false,"Metalla515","5"
false,"Kobrabones","5"
false,"Jorge de Carvalho","5"
false,"Starklinson","5"
false,"Piet.Wijker","5"
false,"98.176.212.3","5"
false,"FunnySquirrel12","5"
false,"Dr.Lantis","5"
