"bot","username","cnt"
false,"Thierry Caro","217"
false,"Tuvalkin","105"
false,"HastaLaVi2","51"
false,"Zigzig20s","24"
false,"Jon Harald Søby","24"
false,"Hålslaget","15"
false,"Jordyvandebunt","13"
false,"CUA 27","11"
false,"DarwIn","11"
false,"Marek Koudelka","11"
true,"RudolphousBot","131"
true,"Research Bot","70"
true,"Mr.Ibrahembot","30"
true,"DatBot","29"
true,"SchlurcherBot","26"
true,"Andrebot","25"
true,"KolbertBot","25"
true,"InternetArchiveBot","21"
true,"Lsjbot","21"
true,"Dcirovicbot","17"
