"bot","username","cnt"
false,"Thierry Caro","1025"
false,"HastaLaVi2","268"
false,"Tuvalkin","105"
false,"Jordyvandebunt","61"
false,"Hålslaget","55"
false,"Jon Harald Søby","52"
false,"151 cp","32"
false,"Marek Koudelka","32"
false,"Eurodyne","31"
false,"Zigzig20s","29"
true,"RudolphousBot","599"
true,"Research Bot","332"
true,"Mr.Ibrahembot","137"
true,"QBA-bot","135"
true,"DatBot","130"
true,"SchlurcherBot","116"
true,"KolbertBot","115"
true,"Andrebot","115"
true,"Lsjbot","101"
true,"TuanminhBot","76"
